SampleID,Gender,Age-range,Region,Area
S470,Female,45-49,CASTILLA.LEON,Rest
S471,Female,40-44,VALENCIANA,Mediterranean
S472,Female,40-44,CATALONIA,Mediterranean
S473,Male,25-29,MADRID,Rest
S474,Female,35-39,EXTREMADURA,Rest
S475,Female,35-39,ASTURIAS,Rest
S476,Female,35-39,MADRID,Rest
S477,Female,25-29,MADRID,Rest
S478,Female,55-59,ARAGON,Rest
S479,Female,35-39,LAMANCHA,Rest
S480,Female,45-49,VALENCIANA,Mediterranean
S481,Female,40-44,MADRID,Rest
S482,Female,40-44,ANDALUCIA,Mediterranean
S483,Female,55-59,CASTILLA.LEON,Rest
S484,Female,40-44,MADRID,Rest
S485,Female,35-39,ASTURIAS,Rest
S486,Female,50-54,CATALONIA,Mediterranean
S487,Female,50-54,CATALONIA,Mediterranean
S488,Male,35-39,MADRID,Rest
S489,Female,45-49,CATALONIA,Mediterranean
S490,Female,35-39,EXTREMADURA,Rest
S491,Male,35-39,ASTURIAS,Rest
S492,Male,40-44,MADRID,Rest
S493,Female,60-64,CATALONIA,Mediterranean
S494,Female,25-29,CASTILLA.LEON,Rest
S495,Male,30-34,CASTILLA.LEON,Rest
S496,Female,40-44,ASTURIAS,Rest
S497,Male,55-59,CATALONIA,Mediterranean
S498,Male,45-49,MADRID,Rest
S499,Male,25-29,MADRID,Rest
S500,Male,40-44,BALEARES,Island
S501,Male,50-54,CATALONIA,Mediterranean
S502,Female,35-39,ANDALUCIA,Mediterranean
S503,Female,55-59,CATALONIA,Mediterranean
S504,Male,35-39,MADRID,Rest
S505,Female,35-39,MADRID,Rest
S506,Female,25-29,CATALONIA,Mediterranean
S507,Female,50-54,BALEARES,Island
S508,Female,45-49,CASTILLA.LEON,Rest
S509,Female,40-44,MADRID,Rest
S510,Female,50-54,BASQUE,Rest
S511,Female,35-39,CATALONIA,Mediterranean
S512,Female,50-54,BASQUE,Rest
S513,Female,40-44,VALENCIANA,Mediterranean
S514,Female,40-44,CATALONIA,Mediterranean
S515,Female,55-59,MURCIA,Mediterranean
S516,Male,40-44,LAMANCHA,Rest
S517,Female,35-39,ANDALUCIA,Mediterranean
S518,Female,35-39,ASTURIAS,Rest
S519,Female,40-44,ASTURIAS,Rest
S520,Male,45-49,VALENCIANA,Mediterranean
S521,Female,30-34,ASTURIAS,Rest
S522,Male,40-44,MADRID,Rest
S523,Male,40-44,ASTURIAS,Rest
S524,Male,45-49,ANDALUCIA,Mediterranean
S525,Female,65-70,ASTURIAS,Rest
S526,Female,35-39,CEUTA,Rest
S527,Female,35-39,ANDALUCIA,Mediterranean
S528,Male,45-49,MADRID,Rest
